"Distancía absoluta [m]
01/01/2020",Número de soldadura,SMYS [psi],Diámetro [mm],Espesor [mm],Elevación [m],Latitud[º] / Este,Longitud [º]/ Norte,Feature typev (don't incude blank),Inclinación - Pitch [grados] - desde Extraer GW - Interpolar,Azimuth - [Grados] - desde Extraer GW - Interpolar,Distancia de Registro [km],Presión de diseño [psi],Presió Interpolada [psi] (desde colmna K),PK [km],Perfil de presión operativa [psi],Distancia de registro perfil operativo [m]
1001.698,1020,60000,323.85,9.3,1455.519,1187632.307,835396.605,GW,,,10.01698,2482.0,1642.0,180.84915,1296.7879989956914,17124.92
1014.013,1030,60000,323.85,9.3,1455.892,1187642.265,835403.834,GW,,,10.140130000000001,2482.0,1643.0,181.066,1313.364810484998,17341.77
1026.441,1040,60000,323.85,9.3,1456.141,1187652.393,835411.027,GW,,,10.26441,2482.0,1643.0,181.0781,1314.3120775359062,17353.87
1038.92,1050,60000,323.85,9.3,1456.543,1187662.576,835418.22,GW,,,10.3892,2482.0,1643.0,181.23579,1345.5519862441424,17511.56
1051.33,1060,60000,323.85,9.3,1456.764,1187672.575,835425.557,GW,,,10.5133,2482.0,1643.0,181.24587,1345.155971431926,17521.64
1063.741,1070,60000,323.85,9.3,1456.974,1187682.961,835432.211,GW,,,10.63741,2482.0,1643.0,181.44748,1320.805397914001,17723.25
1076.207,1080,60000,323.85,9.3,1457.109,1187694.563,835436.754,GW,,,10.762070000000001,2482.0,1644.0,181.45897,1320.6541301182024,17734.74
1088.7,1090,60000,323.85,9.3,1457.131,1187706.204,835441.276,GW,,,10.887,2482.0,1644.0,181.52186,1331.8868777034595,17797.63
1101.141,1100,60000,323.85,9.3,1457.791,1187718.19,835444.411,GW,,,11.011410000000001,2482.0,1644.0,181.73095,1366.9161989977508,18006.72
1113.641,1110,60000,323.85,10.7,1458.091,1187730.492,835446.574,GW,,,11.136410000000001,2855.0,1644.0,181.75587,1371.2677408069085,18031.64
1125.866,1120,60000,323.85,10.7,1458.321,1187742.653,835447.519,GW,,,11.258659999999999,2855.0,1644.0,181.76759,1372.3144572168026,18043.36
